Brain Area,Window Size,Window Start,Session,Train Accuracy,Test Accuracy
PPC,8,0,0588_20181003,"[49.549549549549546, 55.55555555555556, 62.46246246246246, 68.16816816816817, 69.06906906906907, 70.27027027027027, 68.46846846846847, 72.67267267267268, 70.87087087087087, 71.77177177177177, 73.57357357357357, 71.47147147147147, 73.57357357357357, 72.67267267267268, 74.17417417417417, 72.67267267267268, 74.17417417417417, 73.57357357357357, 73.87387387387388, 74.77477477477477, 76.27627627627628, 76.27627627627628, 76.27627627627628, 75.97597597597597, 75.97597597597597, 76.87687687687688, 77.17717717717717, 76.87687687687688, 77.17717717717717, 78.67867867867868, 77.77777777777777, 78.97897897897897, 78.37837837837837, 76.57657657657657, 77.47747747747748, 78.67867867867868, 78.97897897897897, 76.57657657657657, 79.27927927927928, 79.87987987987988, 79.57957957957957, 79.57957957957957, 79.27927927927928, 78.97897897897897, 79.57957957957957, 79.57957957957957, 78.97897897897897, 80.18018018018019]",66.66666666666667
PPC,8,1,0588_20181003,"[52.552552552552555, 57.05705705705706, 66.96696696696696, 69.06906906906907, 68.46846846846847, 67.86786786786787, 69.06906906906907, 69.36936936936937, 70.57057057057057, 70.27027027027027, 71.47147147147147, 69.96996996996997, 72.37237237237237, 71.17117117117117, 71.47147147147147, 72.07207207207207, 71.77177177177177, 72.37237237237237, 72.07207207207207, 71.17117117117117, 71.77177177177177, 72.07207207207207, 73.27327327327328, 73.57357357357357, 74.77477477477477, 72.97297297297297, 73.57357357357357, 74.77477477477477, 73.27327327327328, 73.57357357357357, 74.47447447447448, 73.87387387387388, 73.57357357357357, 74.17417417417417, 74.77477477477477, 73.87387387387388, 72.67267267267268, 74.47447447447448, 74.17417417417417, 74.47447447447448, 74.47447447447448, 74.47447447447448, 75.67567567567568, 73.87387387387388, 74.47447447447448, 75.67567567567568, 75.07507507507508, 74.47447447447448]",73.80952380952381
PPC,8,2,0588_20181003,"[59.45945945945946, 66.36636636636636, 68.16816816816817, 71.17117117117117, 70.87087087087087, 71.77177177177177, 70.87087087087087, 71.17117117117117, 73.27327327327328, 74.17417417417417, 72.67267267267268, 73.87387387387388, 72.97297297297297, 75.07507507507508, 74.47447447447448, 73.87387387387388, 72.07207207207207, 73.87387387387388, 73.87387387387388, 74.17417417417417, 75.37537537537537, 75.07507507507508, 75.07507507507508, 74.47447447447448, 74.77477477477477, 75.37537537537537, 75.37537537537537, 75.37537537537537, 76.27627627627628, 75.97597597597597, 75.07507507507508, 75.67567567567568, 75.37537537537537, 75.67567567567568, 75.67567567567568, 76.27627627627628, 75.67567567567568, 75.37537537537537, 75.07507507507508, 75.67567567567568, 75.37537537537537, 76.27627627627628, 76.27627627627628, 75.07507507507508, 75.37537537537537, 75.67567567567568, 76.27627627627628, 75.67567567567568]",67.85714285714286
PPC,8,3,0588_20181003,"[53.453453453453456, 63.36336336336336, 68.46846846846847, 70.57057057057057, 71.77177177177177, 70.57057057057057, 70.27027027027027, 71.17117117117117, 72.37237237237237, 71.47147147147147, 71.47147147147147, 70.87087087087087, 73.27327327327328, 70.87087087087087, 73.27327327327328, 72.67267267267268, 71.47147147147147, 72.97297297297297, 72.37237237237237, 72.37237237237237, 72.97297297297297, 72.37237237237237, 71.47147147147147, 73.27327327327328, 72.67267267267268, 73.27327327327328, 72.67267267267268, 73.87387387387388, 73.57357357357357, 74.17417417417417, 74.17417417417417, 73.87387387387388, 72.97297297297297, 73.57357357357357, 73.87387387387388, 73.87387387387388, 73.87387387387388, 74.47447447447448, 74.17417417417417, 75.37537537537537, 74.77477477477477, 74.47447447447448, 74.47447447447448, 75.37537537537537, 75.07507507507508, 73.87387387387388, 74.47447447447448, 75.67567567567568]",67.85714285714286
PPC,8,4,0588_20181003,"[57.65765765765766, 63.36336336336336, 71.77177177177177, 72.97297297297297, 72.97297297297297, 70.57057057057057, 73.57357357357357, 73.87387387387388, 74.77477477477477, 73.87387387387388, 74.47447447447448, 75.97597597597597, 75.67567567567568, 75.07507507507508, 76.87687687687688, 75.97597597597597, 77.17717717717717, 77.77777777777777, 77.77777777777777, 76.57657657657657, 78.97897897897897, 78.37837837837837, 80.78078078078079, 80.18018018018019, 80.18018018018019, 79.57957957957957, 78.97897897897897, 78.37837837837837, 79.27927927927928, 79.87987987987988, 79.87987987987988, 80.18018018018019, 80.48048048048048, 79.27927927927928, 79.87987987987988, 80.48048048048048, 80.48048048048048, 79.87987987987988, 80.78078078078079, 80.48048048048048, 80.78078078078079, 80.48048048048048, 80.48048048048048, 80.48048048048048, 80.18018018018019, 81.38138138138139, 80.48048048048048, 81.08108108108108]",72.61904761904762
PPC,8,5,0588_20181003,"[51.951951951951955, 68.46846846846847, 71.47147147147147, 72.97297297297297, 74.17417417417417, 75.07507507507508, 73.27327327327328, 73.27327327327328, 72.97297297297297, 73.87387387387388, 72.37237237237237, 76.87687687687688, 75.67567567567568, 73.27327327327328, 76.27627627627628, 76.27627627627628, 77.17717717717717, 78.37837837837837, 79.27927927927928, 78.97897897897897, 78.67867867867868, 78.37837837837837, 78.67867867867868, 78.07807807807808, 78.97897897897897, 78.97897897897897, 79.27927927927928, 80.18018018018019, 79.27927927927928, 78.97897897897897, 80.48048048048048, 78.97897897897897, 79.27927927927928, 79.27927927927928, 80.18018018018019, 81.38138138138139, 79.27927927927928, 80.48048048048048, 79.27927927927928, 80.18018018018019, 80.18018018018019, 81.08108108108108, 78.97897897897897, 80.48048048048048, 81.08108108108108, 80.48048048048048, 79.87987987987988, 81.08108108108108]",72.61904761904762
PPC,8,6,0588_20181003,"[50.750750750750754, 57.05705705705706, 69.66966966966967, 72.97297297297297, 73.87387387387388, 73.57357357357357, 72.97297297297297, 75.67567567567568, 74.47447447447448, 77.47747747747748, 76.27627627627628, 77.47747747747748, 75.37537537537537, 80.18018018018019, 80.18018018018019, 79.57957957957957, 79.87987987987988, 79.57957957957957, 81.68168168168168, 79.27927927927928, 80.18018018018019, 81.08108108108108, 81.08108108108108, 82.88288288288288, 81.98198198198199, 82.58258258258259, 81.38138138138139, 82.58258258258259, 84.08408408408408, 82.58258258258259, 83.78378378378379, 83.78378378378379, 83.48348348348348, 84.38438438438439, 82.58258258258259, 83.48348348348348, 83.18318318318319, 84.38438438438439, 82.88288288288288, 83.48348348348348, 84.68468468468468, 84.08408408408408, 83.18318318318319, 84.98498498498499, 83.78378378378379, 84.38438438438439, 84.38438438438439, 85.58558558558559]",76.19047619047619
PPC,8,7,0588_20181003,"[53.753753753753756, 57.35735735735736, 64.26426426426427, 66.96696696696696, 68.46846846846847, 70.27027027027027, 69.66966966966967, 72.37237237237237, 69.06906906906907, 71.47147147147147, 71.77177177177177, 71.77177177177177, 72.37237237237237, 71.47147147147147, 73.57357357357357, 72.67267267267268, 73.87387387387388, 72.67267267267268, 73.87387387387388, 71.77177177177177, 74.77477477477477, 74.17417417417417, 74.47447447447448, 75.97597597597597, 75.67567567567568, 75.97597597597597, 78.97897897897897, 76.57657657657657, 77.17717717717717, 78.67867867867868, 78.07807807807808, 78.37837837837837, 79.27927927927928, 78.37837837837837, 77.77777777777777, 79.57957957957957, 79.87987987987988, 79.57957957957957, 79.87987987987988, 79.57957957957957, 80.78078078078079, 80.18018018018019, 80.78078078078079, 80.78078078078079, 81.68168168168168, 80.78078078078079, 81.38138138138139, 81.08108108108108]",78.57142857142857
PPC,8,8,0588_20181003,"[56.15615615615616, 68.16816816816817, 69.96996996996997, 72.67267267267268, 69.36936936936937, 70.87087087087087, 70.87087087087087, 71.47147147147147, 72.07207207207207, 72.07207207207207, 70.87087087087087, 72.07207207207207, 72.07207207207207, 72.07207207207207, 72.07207207207207, 72.67267267267268, 72.07207207207207, 72.07207207207207, 72.97297297297297, 72.37237237237237, 72.97297297297297, 72.97297297297297, 73.87387387387388, 72.67267267267268, 74.47447447447448, 73.27327327327328, 73.27327327327328, 74.17417417417417, 74.77477477477477, 75.67567567567568, 75.67567567567568, 73.87387387387388, 74.47447447447448, 75.37537537537537, 76.27627627627628, 76.57657657657657, 77.47747747747748, 77.17717717717717, 78.97897897897897, 77.47747747747748, 79.27927927927928, 79.57957957957957, 78.97897897897897, 78.37837837837837, 78.97897897897897, 78.37837837837837, 79.27927927927928, 79.87987987987988]",60.714285714285715
PPC,8,9,0588_20181003,"[53.753753753753756, 53.753753753753756, 53.753753753753756, 62.76276276276276, 65.46546546546547, 66.06606606606607, 67.56756756756756, 67.26726726726727, 66.36636636636636, 66.66666666666667, 68.76876876876877, 70.27027027027027, 68.16816816816817, 71.17117117117117, 70.87087087087087, 69.96996996996997, 71.47147147147147, 72.37237237237237, 71.77177177177177, 72.67267267267268, 71.77177177177177, 73.57357357357357, 72.97297297297297, 73.27327327327328, 72.97297297297297, 73.27327327327328, 73.57357357357357, 72.97297297297297, 73.57357357357357, 75.07507507507508, 73.87387387387388, 75.97597597597597, 76.27627627627628, 75.97597597597597, 76.87687687687688, 76.57657657657657, 76.27627627627628, 75.97597597597597, 78.07807807807808, 77.17717717717717, 77.47747747747748, 78.37837837837837, 77.17717717717717, 76.87687687687688, 78.07807807807808, 77.47747747747748, 76.87687687687688, 77.47747747747748]",57.142857142857146
