Session,Brain Area,Analysis Type,Test Accuracy,p value
"('0301', '20180323')",S1,LICK,65.625,0.614
"('0406', '20180409')",S1,LICK,75.0,0.226
"('0406', '20180503')",S1,LICK,65.0,0.869
"('0406', '20180620')",S1,LICK,65.625,0.032
"('0410', '20180427')",S1,LICK,76.04166666666667,0.016
"('0531', '20180517')",S1,LICK,75.0,0.805
"('0531', '20180518')",S1,LICK,84.375,0.0
"('0588', '20180828')",S1,LICK,80.20833333333333,0.272
"('0588', '20180831')",S1,LICK,89.0625,0.007
"('0588', '20180904')",S1,LICK,63.541666666666664,1.0
"('0588', '20180906')",S1,LICK,89.28571428571429,0.0
"('0588', '20180925')",S1,LICK,60.9375,0.986
"('0588', '20180928')",S1,LICK,51.041666666666664,0.784
"('0588', '20181001')",S1,LICK,50.0,0.979
"('0588', '20181002')",S1,LICK,68.75,1.0
"('0756', '20180823')",S1,LICK,60.416666666666664,0.188
"('0756', '20180925')",S1,LICK,62.5,0.994
"('0756', '20180927')",S1,LICK,68.75,0.999
"('0756', '20180928')",S1,LICK,81.25,0.931
"('0756', '20181001')",S1,LICK,80.35714285714286,0.387
"('0756', '20181002')",S1,LICK,64.58333333333333,0.989
"('1140', '20190611')",S1,LICK,79.16666666666667,0.0
"('1140', '20190612')",S1,LICK,66.66666666666667,0.211
"('1140', '20190613')",S1,LICK,62.5,0.79
"('1140', '20190614')",S1,LICK,71.875,0.007
"('0301', '20180323')",S1,GO,59.375,0.258
"('0406', '20180409')",S1,GO,50.0,0.875
"('0406', '20180503')",S1,GO,46.25,0.775
"('0406', '20180620')",S1,GO,53.125,0.429
"('0410', '20180427')",S1,GO,52.083333333333336,0.299
"('0410', '20180503')",S1,GO,52.5,0.36
"('0531', '20180517')",S1,GO,63.75,0.097
"('0531', '20180518')",S1,GO,57.291666666666664,0.135
"('0588', '20180828')",S1,GO,73.95833333333333,0.0
"('0588', '20180831')",S1,GO,50.78125,0.414
"('0588', '20180904')",S1,GO,50.0,0.596
"('0588', '20180906')",S1,GO,71.42857142857143,0.0
"('0588', '20180925')",S1,GO,62.5,0.015
"('0588', '20180928')",S1,GO,62.5,0.011
"('0588', '20181001')",S1,GO,46.25,0.792
"('0588', '20181002')",S1,GO,52.67857142857143,0.354
"('0756', '20180823')",S1,GO,45.833333333333336,0.803
"('0756', '20180925')",S1,GO,43.75,0.824
"('0756', '20180927')",S1,GO,52.5,0.313
"('0756', '20180928')",S1,GO,53.125,0.351
"('0756', '20181001')",S1,GO,50.892857142857146,0.421
"('0756', '20181002')",S1,GO,43.75,0.87
"('1140', '20190611')",S1,GO,52.083333333333336,0.411
"('1140', '20190612')",S1,GO,59.375,0.035
"('1140', '20190613')",S1,GO,62.5,0.05
"('1140', '20190614')",S1,GO,54.6875,0.218
"('1218', '20190701')",S1naive,GO,54.166666666666664,0.261
"('1218', '20190705')",S1naive,GO,50.0,0.632
"('1218', '20190712')",S1naive,GO,40.625,0.963
"('1218', '20190715')",S1naive,GO,43.75,0.866
"('1260', '20190814')",S1naive,GO,72.91666666666667,0.002
"('1260', '20190816')",S1naive,GO,59.375,0.116
"('1268', '20190813')",S1naive,GO,78.125,0.0
"('1268', '20190814')",S1naive,GO,50.0,0.561
"('1268', '20190816')",S1naive,GO,68.75,0.006
"('1268', '20190820')",S1naive,GO,58.333333333333336,0.132
"('1298', '20190919')",S1naive,GO,31.25,0.997
"('1298', '20190920')",S1naive,GO,54.166666666666664,0.31
"('1298', '20190923')",S1naive,GO,62.5,0.241
"('1298', '20190924')",S1naive,GO,53.125,0.368
"('1218', '20190712')",S1naive,LICK,59.375,0.121
"('1218', '20190715')",S1naive,LICK,67.1875,0.758
"('1260', '20190816')",S1naive,LICK,68.75,0.011
"('1268', '20190813')",S1naive,LICK,59.375,0.419
"('1268', '20190814')",S1naive,LICK,56.25,0.787
"('1268', '20190816')",S1naive,LICK,77.08333333333333,0.999
"('1268', '20190820')",S1naive,LICK,54.166666666666664,0.577
"('1298', '20190920')",S1naive,LICK,62.5,0.171
"('1298', '20190923')",S1naive,LICK,40.625,0.999
"('1298', '20190924')",S1naive,LICK,73.4375,1.0
"('0588', '20181003')",PPC,GO,75.0,0.0
"('0588', '20181005')",PPC,GO,52.083333333333336,0.419
"('0588', '20181009')",PPC,GO,40.625,0.978
"('0588', '20181012')",PPC,GO,46.875,0.758
"('0588', '20181015')",PPC,GO,43.75,0.868
"('0588', '20181017')",PPC,GO,52.083333333333336,0.431
"('0588', '20181026')",PPC,GO,48.214285714285715,0.7
"('0756', '20181004')",PPC,GO,84.375,0.0
"('0756', '20181005')",PPC,GO,56.25,0.149
"('0756', '20181017')",PPC,GO,39.0625,0.951
"('0756', '20181018')",PPC,GO,60.416666666666664,0.104
"('0756', '20181019')",PPC,GO,53.125,0.302
"('0756', '20181022')",PPC,GO,56.25,0.226
"('0756', '20181025')",PPC,GO,53.125,0.339
"('0756', '20181026')",PPC,GO,52.5,0.312
"('0756', '20181028')",PPC,GO,56.25,0.114
"('0588', '20181003')",PPC,LICK,85.41666666666667,0.002
"('0588', '20181005')",PPC,LICK,77.08333333333333,0.943
"('0588', '20181009')",PPC,LICK,57.291666666666664,0.991
"('0588', '20181012')",PPC,LICK,67.1875,1.0
"('0588', '20181015')",PPC,LICK,43.75,0.972
"('0588', '20181017')",PPC,LICK,70.83333333333333,0.995
"('0588', '20181026')",PPC,LICK,61.607142857142854,1.0
"('0756', '20181005')",PPC,LICK,75.0,0.777
"('0756', '20181017')",PPC,LICK,82.8125,0.864
"('0756', '20181018')",PPC,LICK,89.58333333333333,0.87
"('0756', '20181025')",PPC,LICK,71.875,1.0
