Brain Area,Analysis Type,Neuron,Test Accuracy,p value
S1,GO,[3.01201803e+11],46.875,0.791
S1,GO,[3.01201803e+11],59.375,0.259
S1,GO,[3.01201803e+11],65.625,0.065
S1,GO,[3.01201803e+11],46.875,0.801
S1,GO,[4.06201804e+11],37.5,0.99
S1,GO,[4.06201804e+11],50.0,0.857
S1,GO,[4.06201804e+11],56.25,0.578
S1,GO,[4.06201804e+11],62.5,0.409
S1,GO,[4.06201804e+11],56.25,0.57
S1,GO,[4.06201805e+11],55.0,0.205
S1,GO,[4.06201805e+11],40.0,0.967
S1,GO,[4.06201805e+11],51.25,0.454
S1,GO,[4.06201805e+11],55.0,0.243
S1,GO,[4.06201806e+11],56.25,0.212
S1,GO,[4.06201806e+11],40.625,0.906
S1,GO,[4.06201806e+11],50.0,0.532
S1,GO,[4.06201806e+11],46.875,0.631
S1,GO,[4.10201804e+11],50.0,0.526
S1,GO,[4.10201804e+11],55.208333333333336,0.154
S1,GO,[4.10201804e+11],55.208333333333336,0.155
S1,GO,[4.10201805e+11],56.25,0.169
S1,GO,[4.10201805e+11],45.0,0.917
S1,GO,[5.31201805e+11],61.25,0.205
S1,GO,[5.31201805e+11],46.25,0.983
S1,GO,[5.31201805e+11],52.5,0.795
S1,GO,[5.31201805e+11],58.75,0.364
S1,GO,[5.31201805e+11],47.5,0.982
S1,GO,[5.31201805e+11],48.75,0.959
S1,GO,[5.31201805e+11],56.25,0.191
S1,GO,[5.31201805e+11],53.125,0.398
S1,GO,[5.31201805e+11],48.958333333333336,0.697
S1,GO,[5.31201805e+11],56.25,0.184
S1,GO,[5.31201805e+11],60.416666666666664,0.03
S1,GO,[5.88201808e+11],52.083333333333336,0.311
S1,GO,[5.88201808e+11],53.125,0.253
S1,GO,[5.88201808e+11],52.083333333333336,0.307
S1,GO,[5.88201808e+11],50.0,0.543
S1,GO,[5.88201808e+11],48.4375,0.664
S1,GO,[5.88201808e+11],47.65625,0.744
S1,GO,[5.88201809e+11],57.291666666666664,0.066
S1,GO,[5.88201809e+11],62.5,0.005
S1,GO,[5.88201809e+11],45.833333333333336,0.848
S1,GO,[5.88201809e+11],47.916666666666664,0.725
S1,GO,[5.88201809e+11],45.535714285714285,0.811
S1,GO,[5.88201809e+11],51.785714285714285,0.331
S1,GO,[5.88201809e+11],46.42857142857143,0.806
S1,GO,[5.88201809e+11],50.0,0.528
