# Expt,Accuracy,Rank
5882018100303.0,0.5382960413080895,78.0
5882018100305.0,0.5456970740103271,83.0
5882018100306.0,0.5458118187033849,93.0
5882018100308.0,0.5215720022948939,69.0
5882018100312.0,0.4953815261044177,39.0
5882018100313.0,0.4856282271944923,20.0
5882018100315.0,0.5144865174985657,52.0
5882018100319.0,0.5194492254733218,60.0
5882018100325.0,0.5939759036144578,100.0
5882018100326.0,0.5289156626506024,77.0
5882018100328.0,0.5432874354561101,87.0
5882018100338.0,0.5578313253012048,95.0
5882018100353.0,0.5119621342512909,52.0
5882018100354.0,0.555249569707401,94.0
5882018100504.0,0.3894736842105263,0.0
5882018100508.0,0.47017543859649125,17.0
5882018100517.0,0.5789473684210527,96.0
5882018100906.0,0.46711833785004514,10.0
5882018100926.0,0.5036735922914785,46.0
5882018100928.0,0.49626618488407104,32.0
5882018101202.0,0.5016393442622951,45.0
5882018101203.0,0.4750273224043716,12.0
5882018101204.0,0.5147540983606558,46.0
5882018101205.0,0.49830601092896176,39.0
5882018101206.0,0.5842076502732241,98.0
5882018101207.0,0.43229508196721317,0.0
5882018101209.0,0.49841530054644806,32.0
5882018101210.0,0.4921857923497268,25.0
5882018101211.0,0.5050819672131148,34.0
5882018101212.0,0.5084699453551913,48.0
5882018101213.0,0.5179234972677595,50.0
5882018101215.0,0.5150273224043717,57.0
5882018101216.0,0.5381967213114753,74.0
5882018101217.0,0.4521311475409836,5.0
5882018101219.0,0.4520765027322405,6.0
5882018101224.0,0.538415300546448,77.0
5882018101227.0,0.5151912568306011,54.0
5882018101232.0,0.4686338797814208,10.0
5882018101234.0,0.47202185792349727,15.0
5882018101237.0,0.534863387978142,78.0
5882018101238.0,0.56448087431694,90.0
5882018101241.0,0.4623497267759563,8.0
5882018101245.0,0.5050273224043715,47.0
5882018101246.0,0.5510382513661203,90.0
5882018101248.0,0.507704918032787,55.0
5882018101249.0,0.5049180327868853,36.0
5882018101504.0,0.49389454209065675,27.0
5882018101505.0,0.5023126734505088,39.0
5882018101509.0,0.5536540240518039,85.0
5882018101702.0,0.500145137880987,31.0
5882018101709.0,0.5801161103047894,95.0
5882018101712.0,0.49252539912917276,28.0
5882018101720.0,0.4691582002902758,11.0
5882018101727.0,0.5384615384615385,72.0
5882018102308.0,0.5147474747474747,47.0
5882018102601.0,0.5538930135160861,96.0
5882018102604.0,0.4775747192080716,18.0
5882018102616.0,0.5557395773843518,95.0
7562018100403.0,0.49678878335594756,54.0
7562018100404.0,0.5272727272727272,76.0
7562018100406.0,0.48851198552691094,22.0
7562018100408.0,0.5422885572139303,83.0
7562018100409.0,0.5244233378561737,74.0
7562018100413.0,0.5786069651741294,99.0
7562018100415.0,0.5575305291723202,91.0
7562018100503.0,0.5878286270691334,99.0
7562018100504.0,0.4834793898085037,19.0
7562018100505.0,0.49610516066212274,32.0
7562018100506.0,0.5061668289516391,46.0
7562018100507.0,0.47812398571892245,15.0
7562018100509.0,0.5189224277831872,59.0
7562018100512.0,0.478383641674781,13.0
7562018100517.0,0.5011684518013632,33.0
7562018100521.0,0.5041544952937358,49.0
7562018100533.0,0.5139565076273938,56.0
7562018100537.0,0.478383641674781,14.0
7562018100541.0,0.5367088607594936,86.0
7562018101702.0,0.461699948796723,8.0
7562018101706.0,0.5511008704557091,87.0
7562018101716.0,0.4936507936507937,34.0
7562018101813.0,0.46067632850241547,12.0
7562018101816.0,0.5004830917874395,39.0
7562018101817.0,0.5966183574879228,96.0
7562018101828.0,0.5085990338164251,38.0
7562018101832.0,0.5445410628019324,72.0
7562018101833.0,0.613623188405797,99.0
7562018101907.0,0.538989898989899,86.0
7562018101911.0,0.5451313131313131,96.0
7562018101917.0,0.5009898989898989,42.0
7562018101920.0,0.541030303030303,90.0
7562018101922.0,0.514989898989899,57.0
7562018102207.0,0.491304347826087,19.0
7562018102208.0,0.5833333333333333,82.0
7562018102209.0,0.6206521739130434,95.0
7562018102214.0,0.577536231884058,83.0
7562018102217.0,0.5271739130434783,57.0
7562018102220.0,0.491304347826087,15.0
7562018102221.0,0.5003623188405797,35.0
7562018102222.0,0.5934782608695652,94.0
7562018102226.0,0.4923913043478261,24.0
7562018102235.0,0.5583333333333333,70.0
7562018102505.0,0.47142857142857136,5.0
7562018102506.0,0.5161290322580645,50.0
7562018102509.0,0.5604710701484895,91.0
7562018102519.0,0.5285714285714286,76.0
7562018102520.0,0.4679467485919099,9.0
7562018102538.0,0.48059395801331284,24.0
7562018102605.0,0.4964180700347501,40.0
7562018102606.0,0.4754878374766105,11.0
7562018102608.0,0.5127506014434643,63.0
7562018102610.0,0.5197273456295108,58.0
7562018102614.0,0.47564822240042764,10.0
7562018102617.0,0.519620422346966,67.0
7562018102618.0,0.5220529270248597,64.0
7562018102624.0,0.4732157177225341,6.0
7562018102628.0,0.5429029671210905,83.0
7562018102629.0,0.4874632451216253,24.0
7562018102802.0,0.4853246753246753,29.0
7562018102803.0,0.4783766233766234,26.0
7562018102806.0,0.5437662337662338,88.0
7562018102808.0,0.4855194805194805,31.0
7562018102811.0,0.460064935064935,10.0
7562018102812.0,0.5112337662337663,36.0
7562018102815.0,0.5471428571428572,82.0
7562018102818.0,0.48922077922077917,26.0
7562018102820.0,0.4997402597402597,33.0
7562018102821.0,0.5365584415584415,79.0
7562018102822.0,0.4816883116883116,18.0
7562018102831.0,0.5291558441558442,66.0
