# Expt,Accuracy,Rank
11402019061111.0,0.5071428571428571,28.0
11402019061113.0,0.5561576354679802,61.0
11402019061114.0,0.45738916256157636,4.0
11402019061115.0,0.5842364532019705,80.0
11402019061117.0,0.5502463054187192,64.0
11402019061129.0,0.6135467980295567,98.0
11402019061104.0,0.6899014778325123,100.0
11402019061165.0,0.5421182266009852,59.0
11402019061171.0,0.5908866995073891,84.0
11402019061173.0,0.598768472906404,87.0
11402019061210.0,0.4784810126582279,23.0
11402019061211.0,0.5417721518987342,85.0
11402019061212.0,0.5873417721518988,98.0
11402019061215.0,0.5139240506329114,51.0
11402019061216.0,0.5898734177215189,100.0
11402019061218.0,0.5240506329113923,69.0
11402019061219.0,0.6886075949367089,100.0
11402019061222.0,0.6354430379746836,100.0
11402019061239.0,0.5569620253164557,88.0
11402019061204.0,0.5417721518987342,89.0
11402019061243.0,0.5392405063291139,83.0
11402019061246.0,0.5012658227848101,37.0
11402019061264.0,0.5949367088607594,99.0
11402019061267.0,0.5569620253164558,91.0
11402019061269.0,0.5544303797468354,95.0
11402019061208.0,0.5822784810126582,99.0
11402019061310.0,0.5368421052631579,61.0
11402019061311.0,0.5894736842105263,91.5
11402019061312.0,0.6210526315789473,99.0
11402019061313.0,0.5052631578947369,35.5
11402019061314.0,0.5421052631578946,68.0
11402019061332.0,0.4473684210526316,4.0
11402019061343.0,0.5368421052631579,68.0
11402019061372.0,0.4631578947368421,9.5
11402019061309.0,0.5526315789473684,78.0
11402019061410.0,0.601256038647343,99.0
11402019061412.0,0.4954589371980676,19.0
11402019061413.0,0.5394202898550725,66.0
11402019061417.0,0.6364251207729469,100.0
11402019061418.0,0.6752657004830918,100.0
11402019061419.0,0.6658937198067634,99.0
11402019061420.0,0.5131400966183575,40.0
11402019061421.0,0.5091787439613527,50.0
11402019061422.0,0.636231884057971,100.0
11402019061423.0,0.5134299516908213,47.0
11402019061424.0,0.6271497584541063,98.0
11402019061425.0,0.7543961352657005,100.0
11402019061426.0,0.5828019323671498,94.0
11402019061429.0,0.5258937198067632,56.0
11402019061430.0,0.5133333333333333,42.0
11402019061444.0,0.5,27.0
11402019061445.0,0.5658937198067633,93.0
11402019061446.0,0.5048309178743962,34.0
11402019061455.0,0.4736231884057972,17.0
11402019061456.0,0.7892753623188407,100.0
11402019061457.0,0.5263768115942029,56.0
11402019061458.0,0.583671497584541,96.0
11402019061406.0,0.5831884057971015,96.0
11402019061407.0,0.5397101449275362,70.0
11402019061471.0,0.5131400966183575,46.0
11402019061472.0,0.5882125603864734,95.0
