# Expt,Accuracy,Rank
5882018100303.0,0.6112449799196787,100.0
5882018100305.0,0.5803786574870913,99.0
5882018100306.0,0.6955536431440046,100.0
5882018100308.0,0.6238382099827883,100.0
5882018100312.0,0.5228628800917958,73.0
5882018100313.0,0.5253298909925416,79.0
5882018100315.0,0.5680722891566266,97.0
5882018100319.0,0.5900458978772232,100.0
5882018100325.0,0.6882386689615606,100.0
5882018100326.0,0.527653471026965,73.0
5882018100328.0,0.5777969018932875,99.0
5882018100338.0,0.7410786001147447,100.0
5882018100353.0,0.6358290304073437,100.0
5882018100354.0,0.7627079747561677,100.0
5882018100504.0,0.4997580157289776,19.0
5882018100508.0,0.43369630973986695,0.0
5882018100517.0,0.482637628554144,23.0
5882018100906.0,0.4951219512195122,33.0
5882018100926.0,0.5414634146341464,81.5
5882018100928.0,0.5,41.0
5882018101202.0,0.480327868852459,18.0
5882018101203.0,0.562568306010929,92.0
5882018101204.0,0.522896174863388,50.0
5882018101205.0,0.45737704918032784,8.0
5882018101206.0,0.5658469945355191,94.0
5882018101207.0,0.5328415300546447,67.0
5882018101209.0,0.5429508196721311,77.0
5882018101210.0,0.49010928961748634,23.0
5882018101211.0,0.5228415300546448,63.0
5882018101212.0,0.49311475409836064,32.0
5882018101213.0,0.529726775956284,69.0
5882018101215.0,0.49043715846994534,30.0
5882018101216.0,0.565792349726776,93.0
5882018101217.0,0.5366120218579234,75.0
5882018101219.0,0.516775956284153,62.0
5882018101224.0,0.49650273224043706,30.0
5882018101227.0,0.513224043715847,45.5
5882018101232.0,0.47049180327868856,10.0
5882018101234.0,0.4670491803278689,11.0
5882018101237.0,0.48377049180327863,21.0
5882018101238.0,0.5363934426229509,71.0
5882018101241.0,0.5163387978142077,52.0
5882018101245.0,0.5066120218579234,45.0
5882018101246.0,0.48016393442622957,29.0
5882018101248.0,0.5068852459016393,45.0
5882018101249.0,0.5458469945355191,85.0
5882018101504.0,0.4655874190564292,5.0
5882018101505.0,0.5086956521739131,43.0
5882018101509.0,0.4785383903792784,16.0
5882018101702.0,0.5208272859216254,53.0
5882018101709.0,0.4603047895500726,7.0
5882018101712.0,0.5399854862119012,72.0
5882018101720.0,0.5552975326560232,91.0
5882018101727.0,0.5777213352685051,94.0
5882018102308.0,0.4618181818181818,10.0
5882018102601.0,0.5507519512659433,95.0
5882018102604.0,0.503921568627451,37.0
5882018102616.0,0.4549781077479536,1.0
7562018100403.0,0.6246494798733604,100.0
7562018100404.0,0.6098597919493441,100.0
7562018100406.0,0.852962460425147,100.0
7562018100408.0,0.8380370872908186,100.0
7562018100409.0,0.7930800542740842,100.0
7562018100413.0,0.5977838082315694,99.0
7562018100415.0,0.7449118046132972,100.0
7562018100503.0,0.5001298279779293,31.0
7562018100504.0,0.5634858812074001,95.0
7562018100505.0,0.49987017202207074,38.0
7562018100506.0,0.550730282375852,89.0
7562018100507.0,0.49230769230769234,27.0
7562018100509.0,0.5049010061668289,41.0
7562018100512.0,0.5432002596559558,89.0
7562018100517.0,0.5430704316780266,84.0
7562018100521.0,0.5507627393703343,90.0
7562018100533.0,0.5407335280753002,85.0
7562018100537.0,0.4720869847452126,15.0
7562018100541.0,0.545829276209023,88.5
7562018101702.0,0.5365079365079365,78.0
7562018101706.0,0.5111111111111112,45.0
7562018101716.0,0.5587301587301587,85.0
7562018101813.0,0.5323671497584541,62.0
7562018101816.0,0.4938164251207729,32.0
7562018101817.0,0.5071497584541063,39.0
7562018101828.0,0.3932367149758454,0.0
7562018101832.0,0.5197101449275363,61.0
7562018101833.0,0.5549758454106279,86.0
7562018101907.0,0.556,96.0
7562018101911.0,0.514,48.5
7562018101917.0,0.5439999999999999,85.0
7562018101920.0,0.476,12.5
7562018101922.0,0.49000000000000005,20.5
7562018102207.0,0.47065217391304354,18.0
7562018102208.0,0.5717391304347826,78.0
7562018102209.0,0.5376811594202898,59.0
7562018102214.0,0.6141304347826086,93.0
7562018102217.0,0.5543478260869565,73.0
7562018102220.0,0.4778985507246377,20.0
7562018102221.0,0.5123188405797101,44.0
7562018102222.0,0.5626811594202898,80.0
7562018102226.0,0.4782608695652174,31.0
7562018102235.0,0.48731884057971014,23.0
7562018102505.0,0.5587301587301587,95.0
7562018102506.0,0.4793650793650793,23.0
7562018102509.0,0.5238095238095237,71.0
7562018102519.0,0.4920634920634921,22.5
7562018102520.0,0.5460317460317461,82.5
7562018102538.0,0.4825396825396825,24.0
7562018102605.0,0.4882384389200748,15.0
7562018102606.0,0.5090884790163057,45.0
7562018102608.0,0.518497727880246,57.0
7562018102610.0,0.49323710237904306,33.0
7562018102614.0,0.5092488639401229,44.0
7562018102617.0,0.45846030473135524,3.0
7562018102618.0,0.5624699278267843,97.0
7562018102624.0,0.5162790697674419,50.0
7562018102628.0,0.5440256615878107,88.0
7562018102629.0,0.5416466185511896,89.0
7562018102802.0,0.5379870129870129,68.0
7562018102803.0,0.5302597402597402,64.0
7562018102806.0,0.5850649350649351,100.0
7562018102808.0,0.563116883116883,91.0
7562018102811.0,0.5414285714285714,83.0
7562018102812.0,0.46207792207792203,4.0
7562018102815.0,0.585,95.0
7562018102818.0,0.4803246753246754,18.0
7562018102820.0,0.4727272727272728,12.0
7562018102821.0,0.577922077922078,97.0
7562018102822.0,0.5018181818181817,29.0
7562018102831.0,0.5269480519480519,78.0
